tab 	sites																						
site	location	samples	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_total_specimens	dir_tilt_correction	blanket_demag_level_af	dir_alpha95	lat	lon	geologic_classes	geologic_types	lithologies	method_codes	result_quality	result_type	age	age_unit	citations	description
205	Early gabbro series	K104.1:K104.2:K104.3:K104.4:K104.5	136	-54	104	5	5	5	0	0.06	6.1	48.02	-90.37	Intrusive:Igneous	Pluton	Granophyre	LT-AF-Z:DE-BLANKET	g	i	1105	Ma	10.1029/jb074i008p02002:Beck (1969)	"tiic gabbro containing 10-20% granophyre. Probably the ""intermediate rock"" of Grout et al (1959)"
206	Early gabbro series	K106.1:K106.2:K106.3:K106.4:K106.5	115	-56	21.5	5	5	5	0	0.06	13.5	48.06	-90.52	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1105	Ma	10.1029/jb074i008p02002:Beck (1969)	"Coarse grained, slightly laminated, magnetite-rich gabbro"
207	Early gabbro series	K107.1:K107.2:K107.3:K107.4:K107.5:K107.6	108	-52.5	53.8	6	6	6	0	0.06	7.8	48.05	-90.49	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1105	Ma	10.1029/jb074i008p02002:Beck (1969)	Lithology-like site 206
208	Early gabbro series	K108.1:K108.2:K108.3:K108.4:K108.5:K108.6	118	-42.5	78.5	6	6	6	0	0.06	6.5	48.04	-90.48	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1105	Ma	10.1029/jb074i008p02002:Beck (1969)	Very coarse-grained leucogabbro
209	Early gabbro series	K109.1:K109.2:K109.3:K109.4:K109.5:K109.6	120	-55	246.6	6	6	6	0	0.06	3.6	48.04	-90.45	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1105	Ma	10.1029/jb074i008p02002:Beck (1969)	Medium grained gabbro
210	Early gabbro series	K110.1:K110.2:K110.3:K110.4:K110.5	121.5	-47.5	97	5	5	5	0	0.06	6.4	48.03	-90.43	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1105	Ma	10.1029/jb074i008p02002:Beck (1969)	Lithology-like site 209
211	Early gabbro series	K111.1:K111.2:K111.3:K111.4:K111.5:K111.6	147	-63	67	6	6	6	0	0.06	7	48.03	-90.41	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1105	Ma	10.1029/jb074i008p02002:Beck (1969)	Massive. Medium-grained gabbro
212	Early gabbro series	K112.1:K112.2:K112.3:K112.4:K112.5:K112.6	310.5	47.5	91.1	6	6	6	0	0.06	6	48.02	-90.38	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Medium-to coarse-grained gabbro, invaded by granophyre"
213	Early gabbro series	K113.1:K113.2:K113.3:K113.4:K113.5:K113.6	315	41.5	11.2	6	6	6	0	0.06	17.1	48.02	-90.38	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"vVery coarse-grained, leucocratic ""intermediate rock"""
43	Endion Sill	6B149:6B150:6B151	271	27	60.2	3	3	3	0	0.06	10.4	46.8	-92.07	Intrusive:Igneous	Pluton	Sill	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Location inferred from M-119 Geologic map of the Duluth Complex and related rocks, northeastern Minnesota"
